Version ID	Index	Master ID	Skeletal code	Skeletal element	Year this sample was first published [for a present-day sample it is this version of the sample. missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Representative contact	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	GroupID	Locality	Country	Lat.	Long.	Data source	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 coverage or published (merged data or consensus if not available)	mt haplogroup published	mt haplogroup published reference	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e.	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT (Xcontam interval is listed if lower bound is >0.005, "QUESTIONABLE" if lower bound is 0.01-0.02, "QUESTIONABLE_CRITICAL" or "FAIL" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is "QUESTIONABLE"; <0.9 is "QUESTIONABLE_CRITICAL", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is "QUESTIONABLE_CRITICAL/FAIL" if <0.01, "QUESTIONABLE" for 0.01-0.03, and recorded but passed if 0.03-0.05; libraries with fully-treated last base are "QUESTIONABLE_CRITICAL" or "FAIL" if <0.03, "QUESTIONABLE" if 0.03-0.06, and recorded but passed if 0.06-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))	Anatolian	Yamnaya	Mesolithic_HG	PC1	PC2	PC3	PC4
Vestonice13~d	1458	Vestonice13	Vestonice13	bone (long bone)	2016	FuNature2016	Paabo, Svante	Context: Layer date of 29185-28525 calBCE (26640±110 BP, GrN-14831) calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	30800	202	29200-28500 BCE	Czech_Vestonice13	Dolni Vestonice	Czech Republic	48.53	16.39	3.7M	1	0.071	114844	..	M	n/a (no relatives detected)	C	..	U8c	..	..	..	..	..	..	..	..	..	0.014	0.022	None	[0,0.057]	ds.half	A5280	PASS	0.50300481798092	0	0.49699518201908	60.4758924473085	-13.8886077246628	0.918534617877128	12.893145594755
Pavlov1~d	1456	Pavlov1	Pavlov1	bone (long bone)	2016	FuNature2016	Paabo, Svante	Context: Layer date of 29233-27588 calBCE (26170±450 BP, GrN-20391) calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	30350	520	29300-27500 BCE	Czech_Pavlov1	Dolni Vestonice	Czech Republic	48.53	16.39	3.7M	2	0.028	54214	..	M	n/a (no relatives detected)	I	..	U5	..	..	..	..	..	..	..	..	..	0.014	0.022	None	[0,0.057]	ds.half,ds.half	A5277,A5304	PASS	0.581571362130231	0	0.418428637869769	74.4890560077624	-3.81541624451374	8.043194245845	1.40083619102681
Vestonice43~d	1460	Vestonice43	Vestonice43	bone (long bone)	2016	FuNature2016	Paabo, Svante	Context: Range of layer dates of 28760-27360 BCE [28483-27333 calBCE (25740±210 BP, GrN-15277) and 28399-27235 calBCE (25570±280, GrN-15276) calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	29800	375	28500-27200 BCE	Czech_Vestonice43	Dolni Vestonice	Czech Republic	48.53	16.39	3.7M	1	0.087	126626	..	M	n/a (no relatives detected)	IJ	..	U	..	..	..	..	..	..	..	..	..	0.014	0.022	None	[0,0.057]	ds.half	A5308	PASS	0.502527993201583	0	0.497472006798417	48.3906186330646	-14.3951369792074	8.12160800849854	8.85463783720322
Vestonice16	1454	Vestonice16	Vestonice16	bone (long bone)	2016	FuNature2016	Paabo, Svante	Context: Range of layer dates of 28760-27360 BCE [28483-27333 calBCE (25740±210 BP, GrN-15277) and 28399-27235 calBCE (25570±280, GrN-15276) calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	29800	375	28500-27200 BCE	Czech_Vestonice16	Dolni Vestonice	Czech Republic	48.53	16.39	3.7M	1	1.31	745560	..	M	n/a (no relatives detected)	C1a2	..	U5	..	..	..	..	..	..	..	..	..	-0.004	0.01	None	[0,0.016]	ds.half	A5306	PASS	0.390284950053662	0	0.609715049946338	-45.3889104110066	-31.6379132806265	7.33876356812608	-9.76340646817567
Ostuni1~d	1462	Ostuni1	Ostuni1	bone (long bone)	2016	FuNature2016	Paabo, Svante	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	27614	119	25860-25426 calBCE (23446±107 BP, MAMS-11449)	Italy_South_HG_Ostuni1	Apulia, Ostuni	Italy	40.73	17.57	3.7M	5	0.245	315126	..	F	n/a (no relatives detected)	..	..	M	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.014	0.022	None	[0,0.057]	half	A5180,A5181,A5182,A5201,A5265	PASS	0.447172823430227	0	0.552827176569773	3.16754252737342	-22.8611455075646	11.4473095788731	-0.156924436319132
I10899~published	9771	I10899	Car1	tooth	2019	OlaldeScience2019	Lalueza-Fox, Carles	Context: Archaeological period	24450	10104	40000-5000 BCE	Spain_HG_published	Andalusia, Piñar, Granada, Cueva de la Carigüela	Spain	37.439437	-3.437567	1240K	1	0.55906	468694	50.5	M	n/a (no relatives detected)	I	112.7	U5b1	..	..	[0.932,0.961]	0.087	0.384	744	0.0233	3.584615385	[0.011,0.036]	0.005	0.027	None	[0,0.058]	ds.half	S10899.E1.L1	QUESTIONABLE (Xcontam=[0.011,0.036], mtcontam=[0.932,0.961])	0.15450301063334	0	0.84549698936666	-25.4704872059718	-59.9618289385064	60.8343980839263	4.7124708065589
ElMiron~d	1465	ElMiron	ElMiron	bone (phalanx)	2016	FuNature2016	Paabo, Svante	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	18775	39	16898-16747 calBCE (15460±40 BP, MAMS-14585)	Spain_ElMiron	El Miron	Spain	43.26	-3.45	3.7M	3	1.012	627275	..	F	n/a (no relatives detected)	..	..	U5b	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.014	0.022	None	[0,0.057]	half	A5268,A5279,A5301	PASS	0.196104796091444	0	0.803895203908556	-48.9250257155673	-55.6538417532214	54.0219985256207	0.462595443168424
HohleFels49~published~d	6222	HohleFels49	HohleFels49	bone (long bone)	2016	FuNature2016	Krause, Johannes	Direct (WARNING NEED R_COMBINE): 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	15452	303	14026-12977 calBCE [union of two dates: 13666-12977 calBCE (12770±110 BP, H5312-4907); 14026-13407 calBCE (13085±95 BP, H5119-4601)]	Germany_HohleFels49_published	Swabian Jura, Baden-Wurttemberg, Hohle Fels, Ach Valley	Germany	48.22	9.45	390K	1	0.033	60254	..	M	n/a (no relatives detected)	I	..	U8a	..	..	..	..	..	..	..	..	..	-0.007	0.002	None	[0,0]	ds.minus	GA82c	PASS (manual.QC)	0.596963050745801	0	0.403036949254199	79.7263905522759	-1.74007831708408	8.85468902314784	0.874969109378068
ZBC~IPB001.B-C0101~Luk2-Pinarbasi	12920	ZBC	ZBC	bone (phalanx)	2019	FeldmanNatureCommunications2019	Krause, Johannes	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	15411	86	13629-13308 calBCE (12890±40 BP, MAMS-30693)	Turkey_Epipaleolithic	Pınarbaşı	Turkey	37.483333	33.033333	1240k	1	2.350848	863964	..	M	n/a (no relatives detected)	C1a2	..	K2b 	K2b	HaploFind and Haplogrep	..	..	..	..	..	..	..	0.002	0.008	None	[0,0.018]	..	IPB001. B/C0101 	PASS (literature)	0.946001953642306	0	0.0539980463576943	-49.0785431511882	37.2055805423912	-4.54418627536686	12.3879385713841
GoyetQ-2	757	GoyetQ-2	GoyetQ-2	bone (long bone)	2016	FuNature2016 + VillalbaMoucoCurrentBiology2019 merge	Krause, Johannes	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	15077	88	13305-12976 calBCE (12650±50 BP, GrA-46168)	Belgium_UP_Magdalenian	Troisieme caverne of Goyet cave	Belgium	50.446	5.008	1240K	3	0.668	422402	..	M	n/a (no relatives detected)	I2a1a1b	..	U8a	..	..	..	..	..	..	..	..	..	0.054	0.007	None	[0.04,0.068]	ds.minus,ds.minus,ds.half	GA231snp,GA247snp,MA166snp	PASS (manual.QC)	0.319740116416563	0	0.680259883583437	-3.22147549314879	-38.7790817511064	28.5979408770371	5.07605052583528
Villabruna	1452	Villabruna	Villabruna	bone (long bone)	2016	FuNature2016	Paabo, Svante	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	14021	126	12268-11851 calBCE (12140±70 BP, KIA-27004)	Italy_North_Villabruna_HG	Veneto, Villabruna	Italy	46.15	12.21	3.7M	1	3.137	902419	..	M	n/a (no relatives detected)	R1b	..	U5b2b	..	..	..	..	..	..	..	..	..	0	0.003	None	[0,0.006]	ds.minus	A5290	PASS	0	0	1	-56.7716945004198	-87.6657551315438	86.5707443779213	0.792449567992838
Bichon.SG	1575	Bichon	Bichon	petrous	2015	JonesNatureCommunications2015	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	13698	71	11850-11579 calBCE (11855±50 BP, OxA-27763)	Switzerland_Bichon.SG	Grotte du Bichon	Switzerland	47.09999847	6.869999886	Shotgun	..	8.443	1176132	..	M	n/a (no relatives detected)	I2a1a1	..	U5b1h	..	..	..	..	..	..	..	..	..	0.006	0.026	None	[0,0.057]	ds.minus	..	PASS (literature)	0	0	1	-55.1518407713505	-87.3493158045974	93.16456987245	0.510429285573615
SATP.SG	1577	SATP	Satsurblia	petrous	2015	JonesNatureCommunications2015	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	13282	61	11461-11225 calBCE (11415±50 BP, OxA-34632)	Georgia_Satsurblia.SG	Satsurblia	Georgia	42.38	42.59	Shotgun	..	1.191	816136	..	M	n/a (no relatives detected)	J1	..	..	K3	..	..	..	..	..	..	..	..	-0.017	0.009	None	[0,0.001]	ds.minus	..	PASS (literature)	0.593360671654026	0	0.406639328345974	-11.436740167593	-5.65447631182704	-64.8464167129793	-34.3522561360042
Rochedane~published	730	Rochedane	Rochedane	bone	2016	FuNature2016	Krause, Johannes	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	13027	63	11207-10955 calBCE (11120±50 BP, GrA-41739)	France_Rochedane_published	Rochedane	France	47.21	6.45	1240K	1	0.131	222935	..	M	n/a (no relatives detected)	I2	..	U5b2b	..	..	..	..	..	..	..	..	..	0.001	0.003	None	[0,0.007]	ds.half	MA165snp	PASS (manual.QC)	0.253354955207371	0	0.746645044792629	14.7402408698378	-46.3253489943244	55.0887649454737	9.90158964259441
BAL051~merged	12909	BAL051	BG-E-3214	bone (phalanx); bone (cranial)	2019	VillalbaMoucoCurrentBiology2019	Haak, Wolfgang	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	13015	169	11446-10772 calBCE (11095±195 BP, Ua-34297)	Spain_UP_Azilian	Balma Guilanya	Spain	42.085341	1.601683	1240k	6	0.408653	335886	..	M	n/a (no relatives detected)	IJ	..	U5b2a	U5b2a	Haplogrep2, VillalbaMoucoCurrentBiology2019	..	..	..	..	..	..	..	0.067	0.017	None	[0.034,0.1]	..	BAL001.A0102,BAL001.A0201,BAL001.A0202,BAL005.A0102,BAL005.A0201,BAL005.A0202	PASS (literature)	0.180846547743785	0	0.819153452256215	-15.4395325864186	-56.3272915655678	67.0471615158083	8.1011035284772
I2158~published	1530	I2158	SIC2, Oriente C	bone (long bone)	2018	MathiesonNature2018	Pinhasi, Ron	Context: Direct date(s) span on sublayer 6D above of 7943-7592 calBCE (8699±60 BP, LTL-875A), sublayers 7D below of 12268-11854 calBCE (12149±65 BP, LTL-14260A), and sublayer 7E below of 12347-11847 calBCE (12132±80 BP, LTL-873A), all calibrated as 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	12000	1328	12350-7750 BCE	Italy_Sicily_HG_OrienteC_published	Sicily, Egadi Islands, Favignana Island, Grotta d'Oriente	Italy	37.933333	12.333333	1240K	1	0.054	61547	..	F	n/a (no relatives detected)	..	15.9	U2'3'4'7'8'9	..	..	[0.951,0.972]	0.09	0.029	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0	0	None	[0,0]	ds.half	S2158.E1.L1	PASS (literaturemtcontam=[0.951,0.972])	0.50172841200385	0	0.49827158799615	71.0390375923913	-13.7475149020815	18.1521267853875	6.86148429116235
R11.SG	15141	R11	Grotta Continenza; -2; 31C; 2; 8; same individual	petrous	2019	AntonioGaoMootsScience2019	Pritchard, Jonathan	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	11868	52	9999-9801 calBCE (10200±30 BP, UCIAMS-198583)	Italy_Mesolithic.SG	Grotta Continenza	Italy	41.96	13.54	Shotgun	..	1.007071	750119	..	M	n/a (no relatives detected)	I2a1b2	..	U5b1+16189+@16192	U5b1+16189+@16192	Haplogrep (v2.1.20)	..	..	..	..	..	..	..	-0.018	0.029	None	[0,0.039]	half	..	PASS (literature)	0	0	1	-36.8124179665761	-91.9807265055256	105.790651063295	7.44878286553017
Iboussieres31-2	767	Iboussieres31-2	Iboussieres31-2	..	2018	MathiesonNature2018	Krause, Johannes	Context: Direct date(s) from same site/context (Iboussieres39)	11675	188	10050-9400 BCE	France_Iboussieres31_2	Aven des Iboussières à Malataverne, Rhône-Alpes	France	44.29	4.46	1240K	1	0.085	80100	..	M	n/a (no relatives detected)	R1	..	U5b1	..	..	..	..	..	..	..	..	..	0.03	0.024	Model_Misspecified	[0,0.077]	ds.minus	MA123snp	PASS (manual.QC)	0.487773495843434	0	0.512226504156566	68.4445532442111	-15.5476119783473	18.2898921370808	8.15584562025338
Iboussieres25-1	766	Iboussieres25-1	Iboussieres25-1	..	2018	MathiesonNature2018	Krause, Johannes	Context: Direct date(s) from same site/context (Iboussieres39)	11675	188	10050-9400 BCE	France_Iboussieres25_1	Aven des Iboussières à Malataverne, Rhône-Alpes	France	44.29	4.46	1240K	1	0.131	77062	..	M	n/a (no relatives detected)	I2	..	U5b2a	..	..	..	..	..	..	..	..	..	0.018	0.029	Model_Misspecified	[0,0.075]	ds.minus	MA121snp	PASS (manual.QC)	0.512535542525828	0	0.487464457474172	66.2133994249269	-12.5898104047564	21.8302245313312	5.18589869605476
I5241	5178	I5241	PADN_24	petrous	2018	MathiesonNature2018	Pinhasi, Ron	Direct (WARNING: This individual has a 14C date that calibrates a millenium later than her genetic father, I5236): 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	11198	42	9302-9165 calBCE (9765±40 BP, PSUAMS-2378)	Serbia_IronGates_Mesolithic_daughter_I5236	Padina	Serbia	44.595879	22.010568	1240K	1	2.708	818133	..	F	Serbia, Padina Family B (3 members) (I5236-I5241 have a father-daughter relationship; I17814-I5236 are 2nd or 3rd degree relatives)	..	248	U5a2+16294	..	..	[0.977,0.990]	0.136	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.002	0.005	None	[0,0.008]	ds.half	S5241.E1.L1	PASS	0	0	1	-58.3933210485916	-85.7759209821928	61.35808873615	-8.92917246441941
I5235	5172	I5235	PADN_9	petrous	2018	MathiesonNature2018	Pinhasi, Ron	Direct (WARNING TO MARINE CALIBRATE IN Intcal20): IntCal13	10835	194	9221-8548 calBCE (9480±110 BP, AA-57771)	Serbia_IronGates_Mesolithic	Padina	Serbia	44.595879	22.010568	1240K	1	2.977	838984	..	M	n/a (no relatives detected)	R1b	433	U5b2c	..	..	[0.980,0.990]	0.132	..	..	0.006423	2.443506049	[0.001,0.012]	0.005	0.007	None	[0,0.019]	ds.half	S5235.E1.L1	PASS	0	0	1	-57.5555587083582	-84.35768051129	59.7916363312521	-7.46189984772346
